nameCanon,user
The Queen,"matt,georgi"
"Prince Philip, Duke of Edinburgh","matt,georgi"
Bruce Forsyth,"matt,georgi"
Len Goodman,matt
Kirk Douglas,"matt,georgi"
Mariah Carey,matt
Robbie Williams,matt
Paul Gascoigne,"matt,georgi"
David Attenborough,matt
Steve Martin,matt
Sheridan Smith,matt
John Cleese,matt
Angela Lansbury,matt
Paul O'Grady,"matt,georgi"
Gerald Kaufman,matt
Patton Oswalt,matt
Linda Ronstadt,matt
Boy George,matt
Les Dennis,matt
Tim Curry,"matt,georgi"
Raymond Briggs,matt
Michael Schumacher,"matt,georgi"
Tom Cruise,matt
Mary Berry,matt
Denis Norden,"matt,georgi"
Ken Dodd,"matt,georgi"
June Brown,matt
Harry Enfield,"matt,georgi"
Ben Stiller,matt
Val Kilmer,"matt,georgi"
Jermaine Jackson,matt
Ozzy Osbourne,matt
Kelly Osbourne,matt
Tara Reid,"matt,georgi"
Harrison Ford,"matt,georgi"
Miriam Margolyes,matt
Ricky Tomlinson,matt
Mel Gibson,matt
Cindi Lauper,matt
Joan Collins,matt
Grace Jones,matt
Christopher Biggins,matt
Bill Oddie,matt
Kevin Spacey,matt
Peter Mayhew,matt
Ian McKellen,matt
John Travolta,matt
Ken Thompson,matt
Alex Ferguson,matt
David Jason,"matt,georgi"
Elton John,matt
Lindsay Lohan,georgi
Chris Brown,georgi
Kanye West,georgi
Shannen Doherty,georgi
Liam Neeson,georgi
Jim Carrey,georgi
Ian Brady,georgi
Zac Efron,georgi
Prunella Scales,georgi
Barbara Windsor,georgi
Rolf Harris,georgi
Macaulay Culkin,georgi
Donald Trump,georgi
Jennifer Saunders,georgi
Keith Chegwin,georgi
Des O'Connor,georgi
Michael Palin,georgi
Ray Davies,georgi
Iris Apfel,georgi
Donatella Versace,georgi
Stephen Fry,georgi
Quentin Blake,georgi
John McCririck,georgi
Ennio Morricone,georgi
Woody Allen,georgi
Maggie Smith,georgi
Tara Palmer-Tomkinson,georgi
Richard Wilson,georgi
Susan Boyle,georgi
Sinéad O'Connor,georgi
Jimmy Osmond,georgi
Sharon Osbourne,georgi
Jack Osbourne,georgi
Rob Kardashian,georgi
Sue Johnston,georgi
Rupert Murdoch,georgi
Peter Simon (presenter),jokester
